membership:pair_set_id	pair
ALL	2b721ce6-b620-4216-9846-c82543880bb3_ec1a1ae7-4821-44c3-a570-e604611c6a01
ALL	5cedca81-7593-48c9-8bed-ebd294347ce7_d96f7bad-b528-4c61-9be2-0a20e7b24613
ALL	76f4bdbc-58c8-4424-865b-c6531d908dc3_86bbcba2-d2d7-45d1-82a8-979a750f3c44
ALL	74ec0a11-f4f7-4f19-93f9-48674394a885_d5d61c56-6f06-4a43-bf45-79c42629a83d
ALL	cd17957d-1e5c-4874-8070-890c1d692a0b_98b2b12b-881b-49b8-908e-930effcdf244
ALL	d1991ebd-1cd1-4c2d-ac99-2a6ecd3f90f1_30d6576e-81d7-4f30-8133-36727808cba8
ALL	a99e45da-6933-4300-9c8a-e9d0f9e9c825_3c0aa51e-8bce-43d2-884a-a546d84caecc
ALL	71ca5ed1-c8d8-4b05-aaa1-c4051976fe1c_47dfb39a-173e-4a1a-b686-7f0ea3401a8c
ALL	7de9f347-2a8b-4647-bd46-011d74fc48fc_c76dbb37-8810-4353-a967-5f898bb94477
ALL	905de5ec-787c-471d-964b-9db587003602_5a4702c0-5dc6-486c-b0fc-67c6099682f9
ALL	da53d0eb-95fd-466a-a7aa-6251cb4ce408_84d700b1-2e04-4311-b839-1a0dcc192a29
ALL	0c7a94a8-4802-4caa-b59a-6013ce8b3170_916bf0df-1ab0-47ff-82e4-2f386b0f9c72
ALL	00a59c97-91b4-413e-8d9e-674753997221_d4bd6c26-ae26-48e2-b59e-6c7dc140031e
ALL	008dafdd-a3d1-4801-8c0a-8714e2b58e48_57f491fb-7cad-4bc8-b55b-2231ad16a9e3
ALL	c216cce6-3e13-466e-942d-348f9f803ab2_a8f58944-c400-4117-a0b0-ecf0f74947f1
ALL	b25afcbc-accf-4f14-acc3-2f8bb700e5d2_b4c6e8fc-c69c-41d9-93c5-b1471e154501
ALL	0dd8e6c7-9b41-4489-924f-bddf7d189eb3_78a7de52-0166-4e8d-bb5b-d5a55549e4a6
ALL	112649f5-133d-4c45-a66f-4fe9a70bd5b7_d8079261-4b21-42e2-9a79-560943934094
ALL	74f23f3b-989c-441b-8715-505378d175e3_890f70be-7952-416f-b87f-8a6cb8c3383f
ALL	401d075c-d443-4592-8c03-e675caad2b50_1d88971a-e427-42b9-ad98-4ec1ad75a160
ALL	989c2df5-5183-4daa-a8da-fc9ab18a437c_b17b1eef-04fd-4d51-b4ae-6e071afbed16
ALL	62d4d442-98a0-4540-b22a-4acf1fbfc40b_25bb566a-15fd-4725-90dc-1c5f464796ac
ALL	fbf64fdd-6787-4647-b0cd-860acc8abce6_cd390244-133c-4f09-a076-9dddd986df04
ALL	b8e8e280-c3ea-4757-bb41-1611c95dc868_b258f790-4f5f-4342-bd97-869f35bc66d9
ALL	01aeb34a-75e4-446d-97ae-6e32c47158ad_a560bf1e-67fb-4d9a-a8fa-2c82c46c048e
ALL	1a7a397a-79fd-438c-a0c2-602e371327fa_82c28bc5-db37-4400-9a77-9d65f5071ce5
ALL	151a1187-e07e-4b76-b2d2-2da133b9116b_59c725b3-74c1-4ae0-a360-fa8a4c0886e7
ALL	18bb30b2-6018-45af-9393-f7a8ea40fa04_68e31843-242f-48a4-bb6a-6b2511d0c461
