membership:sample_set_id	sample
ALL	c108edc7-c8db-4219-8625-1d3452b73435
ALL	d13412e3-4493-4cf0-9254-0ea24168df42
ALL	5e3d4695-0d4f-446e-adfa-abd03eecb96d
ALL	bcb4ad58-a268-4232-a3f7-b105c6ccd846
ALL	9d098f6b-05b2-44b9-9bea-eb22b763b260
ALL	b47f7fa7-67e1-4dcd-936b-a0f32042db8d
ALL	d0da8033-af36-4886-ada2-d482406c7475
ALL	db386f40-b4a5-499d-98cc-861ceab5b9f0
ALL	cb57840d-6cb4-4a6f-a986-cc43b8be82f0
ALL	31926c70-b07a-48bc-8e16-9829da53926f
ALL	ba119738-9f1c-4e66-9ce3-9781d3cf939c
ALL	75eec3ba-8408-46e6-a1cb-26588271fa2f
ALL	f3948d95-ef01-4cc7-a37e-283c07816ac5
ALL	fb2b7e8a-76ac-4e33-84f4-05e2a34f4416
ALL	89f3a60e-03ad-459f-a7d3-b1ca50e45516
ALL	dbddb53a-e499-426f-a2fd-e3a141028a14
ALL	0fb00e94-7dbb-4c81-bfee-76994ec5840e
ALL	4828d56e-ddff-424c-8660-967eb06d138c
ALL	339da834-611f-47f9-a416-ebc0edea802f
ALL	5176c91c-6464-4c4d-8dec-f19763afb002
ALL	82c23e47-9e17-4e18-a28b-438d244fc406
ALL	4a4e392e-f081-402d-86a3-1cec25e1d9af
ALL	250e66dd-592a-480e-9cd3-23a01c26090b
ALL	780ab49c-29cb-445a-9d1d-89c733ff9f2f
ALL	6fbd4e97-943f-48c5-a869-7ce6b08bf576
ALL	eb0dcff9-f5f7-4dd9-b418-881509a31614
ALL	55ca7fed-f2a2-4372-8eae-0f9d3f1579c9
ALL	92aa925a-746f-4527-be99-cd25bf78e4d8
ALL	325014a0-86e8-4bd0-b822-01c680196f52
ALL	7cfddae2-aa56-485b-9dd7-b3b235abae2c
ALL	5247107c-74c3-4a69-aa18-275ab3a7b945
ALL	3b2bb663-1831-48be-bdb3-9ce2292d3c30
ALL	a366018c-2f8c-42fc-973f-805c1d7d8951
ALL	ecd4f0d6-d234-48af-ae79-7411cc88e0aa
ALL	f14181c0-6391-408b-b762-72b998d6aabc
ALL	ad4ad75d-571f-4d0d-8769-99bea6d7d0e9
ALL	a5143e17-db00-46d3-ac7e-f028369324db
ALL	fdbe8eb3-dc97-4cde-946b-65f634040552
ALL	87f7c7d4-533a-401d-aca4-5e36ee815109
ALL	ccb9f73b-5369-43c5-af18-7500701f70cf
ALL	265934df-d028-4388-baf5-6a024f7c1edf
ALL	2390261f-1004-4f49-b56b-5c3d176a7478
ALL	ebe1773e-b2be-49bd-9871-5a457648e1f4
ALL	195f3484-6479-4964-b428-59ced370df98
ALL	143e54ae-a4f2-4bc2-987d-5c5ec01ecaf2
ALL	7727cb0a-8b62-4329-824f-9a42001fde2f
ALL	5a6717fa-b73e-4fe8-9714-0033aedb1748
ALL	0244faa4-54df-47c7-b53b-6cccdeb8ae9f
ALL	6e8d83f2-70bf-44f0-bd64-64d9dfe26f02
ALL	155e83c1-5f44-4737-84ec-847dddaebb8a
ALL	d3f1bfc3-6d6c-4443-ae80-5a9ca7ccdb0c
ALL	09a0a6b2-8858-42ed-897f-7526097c24fe
ALL	a2dedf98-1bfc-4e20-a699-852177f3aab4
ALL	fc317fd3-7075-4ceb-b970-53dafa8ea1de
ALL	7df0fcc2-19a0-4ffa-84d8-6622163b2e74
