membership:sample_set_id	sample
ALL	e842c87e-854d-4f9a-8a8d-4dbe4c06b5d3
ALL	18c6c530-51e7-4e43-a1b9-f152d17c7c47
ALL	125d4c82-ed51-43a6-8c5f-8c9d0571696f
ALL	160ff432-c910-41a8-93e5-dd87cb7de2ee
ALL	08a6a045-6b58-40d2-ae0d-e0aaf7779985
ALL	30365e6a-0968-4687-b1e1-0aea8159e8a5
ALL	2ab4c680-809c-4fb9-8959-73dba6ed2baa
ALL	7079f5c1-4aa2-49c0-8711-42601d07bd63
ALL	6920b9da-05b6-45a1-9872-aa7d2954cf74
ALL	b4bcf90f-bb5c-46c9-85a6-47abf2337ba1
ALL	586f883e-5719-45fc-9fd4-0d4c62136952
ALL	4c7c01d7-c5e0-4c8f-bc84-580cba33f1e5
ALL	fc0f8559-5051-4428-8835-9922ab36bda5
ALL	d164eb9b-7442-4aa4-970b-83a28443bd40
ALL	238adfd5-6fb5-40a6-bcd2-83944a119dd9
ALL	ba1e0d79-387c-46e2-9ee6-d4fbc9bc8540
ALL	38041aeb-60fe-4784-a5d8-fd04b5c0c5f8
ALL	57805457-b9c9-4f50-aef2-885618aaaca8
ALL	da8201a9-562a-461b-be47-e96b90dd7c58
ALL	13ba18eb-c94b-4f6c-ab50-2a98a8044ced
ALL	aafbf0f9-8fcf-43c1-9a59-7cb975915087
ALL	959acc2e-6754-413e-9e8d-a2994bcbbb0b
ALL	89d54b42-f9a1-4648-ba47-f0727b859e3b
ALL	a2db597f-7fac-4d27-af2c-1f31b37520ab
ALL	48a1a40d-462f-47e2-81ad-ed3c80f04552
ALL	f00de7e8-d54d-4f07-85bc-8fa3f1d56b0c
ALL	e17b07be-9e48-4235-8f25-b3a3929ee61b
ALL	00c4d8f0-aeed-4c26-b8db-bb3883dad965
ALL	76ba82be-5259-4879-8133-cba41041bb03
ALL	d47f775c-6c03-4cc0-82f0-1cac8d55b069
ALL	171b0609-f2ac-4b04-aeaf-27ec060d698e
ALL	39a55ee6-ddb3-4a84-9d5e-80224aef960c
ALL	15423d9c-91c3-4fe5-9880-a28840acb75a
ALL	82ae96b4-29c9-45cc-980a-cbef3b74ad05
ALL	153c76f6-6b52-4247-a07e-469670d515d7
ALL	e863bd35-0382-4979-b599-033a06a1f50b
ALL	ca4eac28-22c9-48d8-8139-7cda2cfe4ae2
ALL	36cb6f79-4d32-408b-8bb0-897dac58696c
ALL	acc1800f-a145-4ca5-bb4c-65df60714a9f
ALL	2d970196-beee-4783-90a1-e313a789dd92
ALL	3de5b87e-b12f-446c-aa04-6c20370de727
ALL	7be0587d-fbc8-4a57-97cb-18e4774d031c
ALL	1768bc1a-f389-496a-9e66-402dc28f6b7f
ALL	f2540f5a-5018-4ba3-93f6-12f0ed0da2d8
ALL	6ce66cbc-9dcf-48f6-a70a-ee50523634b0
ALL	a9a34d30-8f2e-460a-9da1-e085268e3787
ALL	e097bf88-b763-46f7-a71b-92b3cbb350ef
ALL	6a6dfbd9-937b-4939-b604-427bca03bbcd
ALL	86e4862c-7405-40b5-b73f-be0c6c52ea6d
ALL	fcfb2ff8-5ec7-455a-8049-4a83484c7532
ALL	cb58cf8e-3d4c-4421-a3f0-f3c1540f12b2
ALL	4e7a1b52-27a3-4860-90d0-c3d79ad7e1c3
ALL	d285efca-3117-49d6-ac12-bc2b47f8a144
ALL	d943bde7-ac5e-4feb-84b9-f52950d132d7
ALL	32720511-9c6b-47bb-981c-5a3c4ed8b85c
ALL	6c7f0d06-2800-47dd-b919-d3702b368de3
